10000
aeiemriccjitmc,4013,100041
pbalwahktfauxmn,5132,118467
lwzzfhmzci,3943,106334
fuqwkmcxibp,3,126500
qxpyxgra,612,119169
zqyu,2165,115724
jltwjc,1088,111478
qsnprwfrufcev,79,129358
hklnykol,8,126962
pkzzzamtuhecmjwu,2361,124464
wqivfbvardlj,9802,105705
ccsvuej,4775,128145
zxeqc,6812,123281
azhdsrtenoi,9564,116827
mgfn,2947,109961
kspfbldoyyi,1466,100491
elttuklbowyqrtfq,139,102995
jbhoidganqibh,3945,111942
zimfkbrg,8311,104827
ppkdl,5861,105436
pzeouyxp,5332,102390
tfgg,4080,114604
dbmbgmrgfwzbair,9848,103902
zdclbdjnv,9811,100153
fapre,9287,100292
bucoozqlppqf,9116,112382
kouetnl,3396,117421
ezazxq,2659,118716
ittfqdjhq,8702,119718
emzfugrsjkbnzkg,8873,119895
rkiqkrtcq,4750,105447
anpylkogornnrsf,9349,121726
oiuh,5050,114771
kpactyyfdi,6750,111538
sactabnjvsnu,3444,101869
oinlvfahfhwcquag,7070,119912
zvte,3747,125667
ijoqmiix,2224,126299
assd,6538,117035
oayfyezjftqnoh,9018,109894
nclkiybcigqz,3977,128703
szjfhlckcmvdjuj,2911,123811
qhwjgzhy,2904,101321
oslbxwozopccj,7809,100332
oayltqlpsaplqqhsv,44,117673
duojdbph,856,104664
omzsjo,6386,115141
txusk,9436,107711
omhhovcriuwzphjm,6479,128253
wska,414,106868
bzjylx,8784,125547
ffvmbphmpkblpsbag,4217,127644
epgwsukhnc,586,102661
lpwac,3320,102756
dyixceuwuskcu,698,120037
hcwqahgnrzk,8615,112859
wnenwzmyljnit,9866,108723
bshbimhi,5089,109741
uongn,8842,127529
hwzsckt,2234,100778
uxmgssqkk,7099,112316
ytyho,6687,103035
byap,3703,122190
qfkew,5884,101842
ypxdhyppjmskybh,4508,100288
vghzodrmmptxq,1424,100105
iehghmimtxbast,6935,109040
caqzaysbu,67,108942
uxvphwidpwuzz,5021,119264
egmizxtaycfxbm,3149,122648
jnmdckyggzihgori,70,127446
sdzvafdgiiar,7163,123805
spkavlpnrojg,1163,115890
cytlclpbqovis,2030,106729
ouslsuudavcflmetz,9243,124370
ozpjihv,75,115350
ablutdda,7747,115006
wnnmjqyq,1377,101100
upwkaeqi,3576,124393
mateafttviacbpmjq,9064,103548
nhchbmnmzlnlhjm,3458,119629
iikhzwzdwaxgu,3163,112623
xgobhgkfca,6212,124084
sqzeuqhozam,7783,119954
wqychzlilnql,4423,118756
jwgmayabkaxq,4254,111840
xbbttgofacc,4742,104966
fwqbzkzmz,1149,107376
kegfoprqdmlkr,2499,113931
bynxokbqqtlcxjoug,2300,126308
apqcnk,315,116944
smpznlsdrpu,7231,102438
riowdsa,92,124626
jclxrhblujx,7221,111323
lklrlglqw,4316,105537
fnatyzxcvy,985,121538
boaasycvomagqzc,8917,116118
vrvjypbqs,1450,102082
wovxx,3082,122929
febogz,99,116541
gkarrbqxmfbyqae,6517,104833
brimzua,668,101114
vprlellfa,7064,104639
cenaovxsjfubbinrm,6754,129658
yoqdndfz,4208,122704
iwnx,8029,109930
tqeuqsg,4760,113977
ppiczrcai,3915,102306
mgplpototknhdolmo,6435,101672
bfspoptsxmkahsbr,1844,122386
kzbxwt,6575,105021
sndiqzsrg,5541,128745
gdptkzoovonjnz,6348,126924
hzgiscuwpn,5969,119072
ealsvfdje,4510,106270
smkgfdqjzdxp,4560,105829
tfntixyazvnmkuxj,2570,126777
onspdtqevzs,1123,115573
hudvqyihrisbhf,8186,105097
ehrksxqvjnnd,9278,116512
wdxafedkbdge,8267,123986
ovbklyisboedvy,4834,113290
xmjjesdgqciic,5925,109161
kxeaj,2288,118636
ycaehk,4901,122355
cxjzbauup,3935,124767
thppn,5156,123655
uixnd,2750,115574
ysceqqpaycusg,5408,104031
iolwqvfyb,7955,112052
xzuchpdizget,9400,127350
